Candidate,Fold,Observations,Positive Rate,Predicted Positive Rate,Accuracy,Balanced Accuracy,ROC-AUC,Average Precision,Macro F1,Positive Precision,Positive Recall,Matthews Correlation,Brier Score,Log Loss
Equal-Weight Voting: Three Models,2,83.0,0.40963855421686746,0.9397590361445783,0.39759036144578314,0.4762905162064826,0.5072028811524609,0.4566764902793794,0.31382275132275134,0.3974358974358974,0.9117647058823529,-0.09800704369474662,0.302995267559654,0.8056698988798875
Equal-Weight Voting: Three Models,3,83.0,0.5301204819277109,0.8313253012048193,0.5783132530120482,0.5585664335664335,0.675990675990676,0.7139161650375335,0.5149440641175488,0.5652173913043478,0.8863636363636364,0.15611651662675258,0.2352970536469848,0.6625962799271675
Equal-Weight Voting: Three Models,4,83.0,0.5783132530120482,0.8192771084337349,0.6144578313253012,0.5660714285714286,0.5511904761904762,0.6185272740131652,0.5420689655172414,0.6176470588235294,0.875,0.16958922195021908,0.24275269108880296,0.6791952565252223
Equal-Weight Voting: Three Models,5,83.0,0.5662650602409639,0.7831325301204819,0.4457831325301205,0.40661938534278963,0.4296690307328605,0.5429438372537218,0.3687169312169312,0.5076923076923077,0.7021276595744681,-0.22459183959602275,0.26262739766248866,0.7193613805539621
Development-Skill-Weighted Voting,1,83.0,0.4457831325301205,0.891566265060241,0.4578313253012048,0.5002937720329025,0.6110458284371328,0.5120834035870007,0.3882063882063882,0.44594594594594594,0.8918918918918919,0.0009392541173742108,0.26718657849492294,0.7294451990150236
Development-Skill-Weighted Voting,2,83.0,0.40963855421686746,0.963855421686747,0.37349397590361444,0.45588235294117646,0.5168067226890756,0.4768113951598134,0.2719298245614035,0.3875,0.9117647058823529,-0.23247390745427501,0.30205747556791374,0.8031402157862642
Development-Skill-Weighted Voting,3,83.0,0.5301204819277109,0.8313253012048193,0.5783132530120482,0.5585664335664335,0.6794871794871795,0.7168510577921465,0.5149440641175488,0.5652173913043478,0.8863636363636364,0.15611651662675258,0.23562868351420405,0.6632948187167522
Development-Skill-Weighted Voting,4,83.0,0.5783132530120482,0.8433734939759037,0.6144578313253012,0.562202380952381,0.5523809523809524,0.6189040306565017,0.5310734463276836,0.6142857142857143,0.8958333333333334,0.16903278581158607,0.2419183681900641,0.6774338112134731
Development-Skill-Weighted Voting,5,83.0,0.5662650602409639,0.7710843373493976,0.4578313253012048,0.42050827423167847,0.43380614657210403,0.5458631906808099,0.3882063882063882,0.515625,0.7021276595744681,-0.18753628697849845,0.26107403887565156,0.716206640800934
Logistic Blending: Four Models,1,83.0,0.4457831325301205,0.18072289156626506,0.5421686746987951,0.5076380728554641,0.618683901292597,0.5139930769875528,0.46794871794871795,0.4666666666666667,0.1891891891891892,0.019733016735771835,0.2395353236617009,0.6720649105960289
Logistic Blending: Four Models,2,83.0,0.40963855421686746,0.42168674698795183,0.5542168674698795,0.5414165666266506,0.5186074429771909,0.4771703328434245,0.5411624084864785,0.45714285714285713,0.47058823529411764,0.0824872731487784,0.25263822396031266,0.6996355886693991
Logistic Blending: Four Models,3,83.0,0.5301204819277109,0.0,0.46987951807228917,0.5,0.6550116550116551,0.6787646231960717,0.319672131147541,0.0,0.0,0.0,0.2527678860841581,0.6989151643051181
Logistic Blending: Four Models,4,83.0,0.5783132530120482,0.12048192771084337,0.42168674698795183,0.48065476190476186,0.5547619047619048,0.615386125185201,0.36398467432950193,0.5,0.10416666666666667,-0.05869448356125005,0.26034815622862406,0.7141302523582052
Logistic Blending: Four Models,5,83.0,0.5662650602409639,0.1927710843373494,0.40963855421686746,0.449468085106383,0.4013002364066195,0.5300595388159366,0.3732470334412082,0.4375,0.14893617021276595,-0.12696924535663662,0.2731044009065681,0.7406254574833867
Logistic Blending: Three Models,1,83.0,0.4457831325301205,0.18072289156626506,0.5421686746987951,0.5076380728554641,0.618683901292597,0.5139930769875528,0.46794871794871795,0.4666666666666667,0.1891891891891892,0.019733016735771835,0.2395353236617009,0.6720649105960288
Logistic Blending: Three Models,2,83.0,0.40963855421686746,0.42168674698795183,0.5542168674698795,0.5414165666266506,0.5186074429771909,0.4771703328434245,0.5411624084864785,0.45714285714285713,0.47058823529411764,0.0824872731487784,0.25263822396031266,0.6996355886693991
Logistic Blending: Three Models,3,83.0,0.5301204819277109,0.0,0.46987951807228917,0.5,0.6550116550116551,0.6787646231960717,0.319672131147541,0.0,0.0,0.0,0.2527678860841582,0.6989151643051182
Logistic Blending: Three Models,4,83.0,0.5783132530120482,0.12048192771084337,0.42168674698795183,0.48065476190476186,0.5547619047619048,0.615386125185201,0.36398467432950193,0.5,0.10416666666666667,-0.05869448356125005,0.26034815622862406,0.7141302523582052
