number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,user_attrs_convergence_warnings,user_attrs_fold_1_auc,user_attrs_fold_2_auc,user_attrs_fold_3_auc,user_attrs_fold_4_auc,user_attrs_fold_5_auc,user_attrs_maximum_auc,user_attrs_minimum_auc,user_attrs_runtime_seconds,user_attrs_std_auc,state
10,0.5106716012672681,2026-07-23 06:46:37.381495,2026-07-23 06:46:39.435326,0 days 00:00:02.053831,0.6,2.5536783674965333,0.10635865160207798,2,19.20162300275303,400,7.258540671531118,0.6954093999988747,1.1,0.6,0,0.5879873551106427,0.4627632254750898,0.5034013605442177,0.5150681341719078,0.48413793103448277,0.5879873551106427,0.4627632254750898,2.0336622449999595,0.047563535983957156,COMPLETE
11,0.5134282406043904,2026-07-23 06:46:39.639220,2026-07-23 06:46:45.181211,0 days 00:00:05.541991,0.6,3.3417411042805285,0.010007586342083579,5,11.264599395152617,200,0.0014744573540658877,0.31266736542266066,1.5,0.75,0,0.6049130663856691,0.4826014381099127,0.4614622548048346,0.49862421383647804,0.5195402298850574,0.6049130663856691,0.4614622548048346,5.513575002999914,0.05540023556334428,COMPLETE
12,0.5186876644260838,2026-07-23 06:46:45.358213,2026-07-23 06:46:55.043683,0 days 00:00:09.685470,1.0,2.9945857638944675,0.024208561192412152,5,9.901376915433767,400,0.0008221361223327257,1.023542198604704,1.05,0.7,0,0.5979978925184404,0.4852336928608115,0.46133016313321445,0.5347222222222223,0.5141543513957307,0.5979978925184404,0.46133016313321445,9.665536019999763,0.05238516349803171,COMPLETE
13,0.5153480950821547,2026-07-23 06:46:55.264322,2026-07-23 06:47:01.905300,0 days 00:00:06.640978,1.0,2.6534193750018,0.026076472588584712,4,13.781789900472498,400,0.00016948255534580245,1.8785571401298509,1.2,0.65,0,0.580677028451001,0.49653312788906007,0.48788058912885546,0.5034067085953878,0.5082430213464696,0.580677028451001,0.48788058912885546,6.6087343589997545,0.037314257305012706,COMPLETE
14,0.5171636817559011,2026-07-23 06:47:02.071151,2026-07-23 06:47:12.734877,0 days 00:00:10.663726,1.0,3.1630112520820655,0.024988696374889735,5,9.918176742245326,650,0.0008443723644682321,18.80989025334437,1.0,0.8,0,0.5867360379346681,0.47175141242937846,0.4762565220262862,0.5228642557651991,0.5282101806239737,0.5867360379346681,0.47175141242937846,10.64040992199989,0.04671858395775682,COMPLETE
15,0.531182365705636,2026-07-23 06:47:12.907507,2026-07-23 06:47:25.153802,0 days 00:00:12.246295,0.95,1.7989300739621046,0.06579040255551105,4,18.200335162817446,850,7.75393193751068e-05,0.47520702429196293,1.35,0.75,0,0.5903582718651212,0.5008346173600411,0.4946833102172908,0.5566037735849058,0.513431855500821,0.5903582718651212,0.4946833102172908,12.225560398999733,0.040976466850133945,COMPLETE
16,0.53892815998212,2026-07-23 06:47:25.319744,2026-07-23 06:47:36.631644,0 days 00:00:11.311900,0.9,1.6628863171964532,0.07278818524306815,4,18.902861132576316,900,5.69411037979031e-05,0.19716465253225487,1.35,0.8,0,0.5952976817702845,0.5029532614278378,0.4982497853510336,0.5594208595387841,0.53871921182266,0.5952976817702845,0.4982497853510336,11.292185198000425,0.0404550394564673,COMPLETE
17,0.5448322902122709,2026-07-23 06:47:36.796913,2026-07-23 06:47:45.404632,0 days 00:00:08.607719,0.9,1.6730925074882017,0.07753450451644274,4,19.833301756567327,900,3.85450957553213e-05,0.12134478086528085,1.35,0.8,0,0.5964172813487882,0.5028890600924498,0.5096096691103627,0.5484145702306079,0.5668308702791461,0.5964172813487882,0.5028890600924498,8.587765854999816,0.03923534489403632,COMPLETE
18,0.5446271855522629,2026-07-23 06:47:45.588387,2026-07-23 06:47:55.761551,0 days 00:00:10.173164,0.9,1.5205456696286581,0.085918234531077,4,13.777368888212514,800,2.5066021724464692e-05,0.1227593341508494,1.35,0.85,0,0.6111037934668071,0.5194530046224961,0.47321841357902383,0.5572589098532494,0.5621018062397373,0.6111037934668071,0.47321841357902383,10.141539210999781,0.05151944857775064,COMPLETE
19,0.5263940307736483,2026-07-23 06:47:55.925232,2026-07-23 06:48:06.120743,0 days 00:00:10.195511,0.85,0.9734385929861662,0.09216063391411033,4,14.143317833790126,800,1.8378192578723028e-05,0.0633685015234648,1.35,0.9,0,0.5569678609062171,0.5012840267077555,0.4688593884155604,0.5518867924528301,0.5529720853858785,0.5569678609062171,0.4688593884155604,10.1757224830003,0.039470813107407784,COMPLETE
20,0.5367885442735542,2026-07-23 06:48:06.287479,2026-07-23 06:48:12.545055,0 days 00:00:06.257576,0.9,1.4071096852428981,0.13966800510968583,2,13.581769307524715,800,2.641304153786803e-06,0.02114093192623567,1.45,0.85,0,0.595231822971549,0.5092449922958397,0.4841820223234925,0.5718684486373166,0.5234154351395731,0.595231822971549,0.4841820223234925,6.232934085999659,0.045692313276641375,COMPLETE
21,0.5285836682343353,2026-07-23 06:48:12.751758,2026-07-23 06:48:24.155922,0 days 00:00:11.404164,0.9,1.8842699403981158,0.08147887343417223,4,19.965426781418405,900,4.253841313574967e-05,0.18860474418224954,1.35,0.8,0,0.5760010537407798,0.5034026707755521,0.48695594742751463,0.5229297693920335,0.5536288998357963,0.5760010537407798,0.48695594742751463,11.3739891539999,0.036313180867786954,COMPLETE
22,0.5393527851733306,2026-07-23 06:48:24.322369,2026-07-23 06:48:38.049186,0 days 00:00:13.726817,0.85,0.8164691244848685,0.05368451058879415,4,14.93066746768183,900,1.946872696071678e-06,0.16517897534489212,1.3,0.85,0,0.5823893572181242,0.5055213148433487,0.4885410474869559,0.5704271488469602,0.5498850574712644,0.5823893572181242,0.4885410474869559,13.706290386000092,0.040789374971439925,COMPLETE
23,0.5326078733117641,2026-07-23 06:48:38.220185,2026-07-23 06:48:49.446466,0 days 00:00:11.226281,0.85,0.37959247672715873,0.049206474032593386,3,14.406113791821644,800,1.1456713709856463e-06,0.1111466697445659,1.25,0.9,0,0.5871311907270812,0.5060991268618388,0.48200250974176084,0.5421907756813417,0.5456157635467981,0.5871311907270812,0.48200250974176084,11.203926855999725,0.04030336781387385,COMPLETE
24,0.5220798631771849,2026-07-23 06:48:49.617734,2026-07-23 06:49:00.253592,0 days 00:00:10.635858,0.8,0.9502746904155744,0.10779169969786649,4,7.490297208205898,850,1.2803460080040379e-06,0.024745230275198236,1.25,0.85,0,0.5709299262381453,0.4983949666153056,0.47995508883164917,0.5245676100628931,0.5365517241379311,0.5709299262381453,0.47995508883164917,10.614943378000135,0.03513340022010237,COMPLETE
25,0.5313083312735973,2026-07-23 06:49:00.421266,2026-07-23 06:49:12.108571,0 days 00:00:11.687305,0.95,0.5758116354101798,0.037665774059452935,3,12.798391894375968,750,1.3034538951864898e-05,0.032659646116198364,1.15,0.95,0,0.5943756585879874,0.5190677966101696,0.4563106796116505,0.5297431865828093,0.5570443349753694,0.5943756585879874,0.4563106796116505,11.666451409999809,0.05103125949522123,COMPLETE
26,0.5331225951827697,2026-07-23 06:49:12.274511,2026-07-23 06:49:24.237272,0 days 00:00:11.962761,0.85,1.267300295276956,0.05429087811448825,4,15.569324978941928,850,4.4720582514824736e-06,0.18944629959547826,1.4,0.85,0,0.5875922023182297,0.5044940934771444,0.4847764348457829,0.5327568134171907,0.5559934318555008,0.5875922023182297,0.4847764348457829,11.942623637999986,0.040764842073595584,COMPLETE
27,0.4998994203819354,2026-07-23 06:49:24.403038,2026-07-23 06:49:31.172172,0 days 00:00:06.769134,0.95,2.203665586415687,0.09266705389804084,4,2.3647837263849247,650,0.000269633961278335,0.3602103917853788,1.45,0.75,0,0.5453108535300316,0.46173600410888543,0.47638861369790636,0.49901729559748426,0.5170443349753694,0.5453108535300316,0.46173600410888543,6.74788377699997,0.03303834466827667,COMPLETE
28,0.5359659367666544,2026-07-23 06:49:31.347558,2026-07-23 06:49:43.436450,0 days 00:00:12.088892,0.75,0.00063333059062054,0.06285549152544086,3,11.281795405275831,900,2.6411481564911884e-05,3.644701372414304,1.3,0.9,0,0.5868677555321391,0.5199024139702105,0.4705765801466218,0.5563417190775681,0.5461412151067323,0.5868677555321391,0.4705765801466218,12.067763686000035,0.04371358104619126,COMPLETE
29,0.5287664196038804,2026-07-23 06:49:43.601312,2026-07-23 06:49:53.259911,0 days 00:00:09.658599,0.8,0.6226379784830147,0.12000359552648386,5,15.962425167272626,750,1.352587649151641e-05,0.006863409353573486,1.15,0.95,0,0.5634220231822972,0.5225988700564972,0.4786341721154482,0.5264019916142557,0.5527750410509031,0.5634220231822972,0.4786341721154482,9.63786882300019,0.03291768593229854,COMPLETE
