Date,XGBoost Standalone,Equal-Weight Voting: Four Models,Equal-Weight Voting: Three Models,Development-Skill-Weighted Voting,Logistic Blending: Four Models,Logistic Blending: Three Models
2022-06-15,0.8038612604141235,0.6337660339338709,0.6585286588179401,0.6555802787498328,0.4779507717102904,0.47795077171029043
2022-06-16,0.9412840604782104,0.6761803913430582,0.7150811353635231,0.7096620812509833,0.5203857879904294,0.5203857879904294
2022-06-17,0.8353392481803894,0.6328907540817653,0.6573616190151327,0.6616926332732631,0.491757573776015,0.491757573776015
2022-06-21,0.5238054394721985,0.5437592680390239,0.5385196376248107,0.5449700203296352,0.3972124209576594,0.3972124209576594
2022-06-22,0.7485688328742981,0.6331986597122599,0.6577721598557921,0.6476764577420874,0.46153013972443585,0.46153013972443585
2022-06-23,0.8763458728790283,0.665076060191057,0.7002753604941883,0.6909598250763285,0.4995411661418607,0.4995411661418607
2022-06-24,0.5283434391021729,0.5388295751067833,0.5319467137151567,0.5407856455647537,0.39726316584996957,0.39726316584996957
2022-06-27,0.7183494567871094,0.5965168293757499,0.6088630527404454,0.6168634025248416,0.45815241428063347,0.45815241428063347
2022-06-28,0.6966884136199951,0.6048362316069914,0.6199555890487674,0.6191830316612342,0.44907868630367487,0.44907868630367487
2022-06-29,0.7267479300498962,0.6045518596306173,0.619576426413602,0.6234429443652789,0.4587232237715936,0.4587232237715936
2022-06-30,0.8813986778259277,0.6645538960895419,0.6995791416921682,0.6934162547356197,0.5048177007203586,0.5048177007203586
2022-07-01,0.8736319541931152,0.6638326869487268,0.6986175295044146,0.6931449935040495,0.504836007716763,0.504836007716763
2022-07-05,0.7686723470687866,0.624928574519813,0.6467453795991963,0.6452253265567867,0.47024210865898297,0.47024210865898297
2022-07-06,0.8822468519210815,0.6624874865654665,0.696823928993401,0.6938768737404624,0.508556224619881,0.508556224619881
2022-07-07,0.511462390422821,0.5320915675776674,0.5229627036763355,0.535286743810355,0.3961923826502298,0.3961923826502298
2022-07-08,0.8098092079162598,0.6322129479381174,0.6564578774902688,0.6578760953113969,0.4844478061251381,0.4844478061251381
2022-07-11,0.4616774320602417,0.5373789683188203,0.5300125713312059,0.5314441353967998,0.37970684093331236,0.37970684093331236
2022-07-12,0.49010854959487915,0.5365634245947595,0.5289251796991249,0.5332826615621606,0.38558258310856053,0.38558258310856053
2022-07-13,0.39626917243003845,0.5109533720491956,0.4947784429717063,0.49978837898393463,0.3595849358657691,0.3595849358657691
2022-07-14,0.7327069640159607,0.614358935424228,0.6326525274717497,0.6315148607732118,0.4592007133669907,0.4592007133669907
2022-07-15,0.6471377611160278,0.5911394873677329,0.6016932633964228,0.6006381723853245,0.43338855550386224,0.43338855550386224
2022-07-18,0.6332083940505981,0.5807016310717553,0.5877761216684526,0.5881981497597065,0.4259278834872281,0.42592788348722815
2022-07-19,0.898371160030365,0.6528200211860549,0.6839339751541854,0.6891613662011054,0.5151181287532066,0.5151181287532066
2022-07-20,0.7639437913894653,0.6293020501675626,0.6525766804628622,0.6477145818156731,0.4680634931713747,0.4680634931713747
